0,1,2,3,4,5
academic researcher,BR,770-636-5958,emergency extraction,2014-09-21,2027-04-22
business consultant,PT,589-186-9341,deep cover,2013-06-28,2026-04-29
finance/investment analyst,CN,751-583-9834,compromised,2015-06-01,2032-02-20
travel blogger/reviewer,ZA,766-928-6474,deep cover,2011-02-27,2031-09-01
arts connoisseur,PT,317-113-5682,under surveillance,2008-01-30,2026-10-26
business consultant,PE,465-942-0729,under review,2007-11-20,2033-04-25
tech entrepreneur,CN,644-690-2620,under development,2008-07-30,2027-05-20
humanitarian worker,PH,213-485-2592,emergency extraction,2011-10-02,2029-11-13
travel blogger/reviewer,ID,761-637-6070,infiltration,2017-04-05,2031-09-20
security specialist,CN,879-317-4592,under development,2021-11-03,2029-01-21
tourist/traveler,CN,436-447-7019,emergency extraction,2020-07-22,2034-03-21
construction worker/engineer,PH,437-289-8538,infiltration,2021-11-11,2031-04-23
freelance photographer,ES,346-439-0184,deep cover,2020-05-01,2023-02-20
journalist/reporter,AM,406-395-8991,emergency extraction,2004-07-24,2026-03-17
social media influencer,CN,234-834-9194,under surveillance,2022-11-18,2025-02-19
entertainment insider,ID,752-733-5676,under review,2009-04-08,2028-11-25
security specialist,MU,344-236-2715,infiltration,2018-10-25,2028-05-10
social media influencer,PH,941-325-2333,active,2008-06-11,2034-05-22
food/culinary expert,US,321-972-5122,under review,2014-04-15,2033-03-03
food/culinary expert,CN,682-683-9970,under surveillance,2010-08-01,2032-10-07
law enforcement officer,SY,322-601-6148,under development,2020-01-21,2033-06-21
corporate executive,BW,209-197-6558,emergency extraction,2012-08-15,2026-08-08
tech entrepreneur,MY,586-362-8491,compromised,2016-05-27,2029-06-09
entertainment insider,CN,527-320-8235,emergency extraction,2005-08-16,2030-02-09
food/culinary expert,CN,829-452-9269,active,2015-05-14,2027-04-16
finance/investment analyst,CN,972-989-5986,burned,2023-12-05,2027-09-13
government official/diplomat,PH,372-969-2280,burned,2005-02-23,2030-12-01
tech entrepreneur,CN,572-145-1439,under review,2021-03-08,2025-11-07
social media influencer,DE,989-213-9837,active,2017-08-21,2028-03-25
journalist/reporter,CN,151-347-6681,under review,2016-03-12,2029-05-16
environmental activist,CN,848-958-2835,compromised,2017-09-20,2027-12-20
arts connoisseur,CA,126-833-4937,active,2020-01-27,2033-10-03
law enforcement officer,RU,984-890-4262,deep cover,2007-08-05,2024-06-04
government official/diplomat,ID,505-328-8764,compromised,2010-01-16,2023-07-05
environmental activist,RU,772-286-9495,burned,2017-06-22,2026-01-19
business consultant,PH,909-140-9310,emergency extraction,2007-08-18,2024-08-24
freelance photographer,ID,207-833-2465,burned,2017-02-20,2032-12-12
law enforcement officer,FR,582-719-6690,under surveillance,2010-11-29,2025-10-13
freelance photographer,PH,645-198-8524,burned,2005-07-06,2033-11-04
construction worker/engineer,GR,123-801-6083,under surveillance,2020-04-20,2027-12-26
food/culinary expert,IR,922-523-6473,burned,2009-04-03,2033-05-03
construction worker/engineer,RU,488-635-9780,inactive,2012-02-26,2024-12-07
freelance photographer,RU,695-102-5406,under review,2014-09-15,2027-01-12
environmental activist,PH,957-693-2181,deep cover,2012-07-21,2025-11-30
environmental activist,RU,334-264-1702,under review,2010-09-30,2027-03-24
freelance photographer,IR,435-978-8905,under surveillance,2015-08-11,2025-06-24
security specialist,SE,940-593-9917,emergency extraction,2012-06-20,2028-04-03
humanitarian worker,CN,329-599-8474,active,2011-02-09,2026-07-06
security specialist,RU,401-975-3994,emergency extraction,2008-03-04,2025-03-10
construction worker/engineer,PL,494-281-9910,under review,2020-04-27,2034-09-21
freelance photographer,AR,842-340-0447,infiltration,2014-01-28,2027-02-05
freelance photographer,ID,533-515-1660,inactive,2015-06-30,2027-08-26
humanitarian worker,CN,180-828-8854,compromised,2019-07-07,2032-01-26
government official/diplomat,SE,841-494-0450,active,2014-10-30,2023-02-22
freelance photographer,FR,422-798-3095,infiltration,2023-12-19,2025-07-13
social media influencer,HR,708-841-9533,infiltration,2021-11-28,2027-08-24
social media influencer,ZA,535-519-5810,under development,2010-12-14,2025-06-18
environmental activist,RS,108-451-3388,under surveillance,2019-11-11,2025-05-01
food/culinary expert,CN,533-623-9120,under development,2010-11-18,2027-07-10
academic researcher,PT,319-497-5207,active,2014-09-10,2027-05-12
finance/investment analyst,PL,610-142-8877,inactive,2021-08-17,2026-09-29
freelance photographer,FI,391-969-6097,under surveillance,2005-01-28,2034-03-23
government official/diplomat,CN,550-604-3711,under surveillance,2023-11-08,2032-02-27
government official/diplomat,PL,449-236-4704,deep cover,2023-12-17,2026-05-20
food/culinary expert,CN,816-279-7389,under review,2006-12-31,2024-05-29
business consultant,PH,968-277-3632,infiltration,2015-08-08,2034-01-19
tourist/traveler,ID,841-425-7972,inactive,2004-04-15,2031-01-19
tech entrepreneur,CN,743-764-1386,inactive,2009-02-23,2029-12-05
humanitarian worker,US,432-420-6173,deep cover,2019-03-02,2030-07-23
business consultant,ID,283-793-5094,inactive,2004-06-14,2033-05-15
finance/investment analyst,CN,670-986-6168,under development,2010-06-06,2023-10-25
medical professional,CN,502-562-1665,emergency extraction,2020-03-13,2029-05-20
law enforcement officer,CN,390-629-6794,active,2010-08-14,2032-03-18
medical professional,JP,478-875-1702,burned,2013-09-19,2023-12-18
social media influencer,PT,228-184-2783,under development,2013-12-06,2031-02-03
law enforcement officer,BR,101-177-2705,burned,2007-03-12,2023-10-11
entertainment insider,CZ,607-720-3808,under review,2010-09-22,2029-10-10
food/culinary expert,CN,188-227-9773,under development,2004-06-14,2032-06-17
food/culinary expert,PT,775-104-8426,emergency extraction,2017-04-30,2027-10-18
security specialist,RU,212-144-6179,inactive,2015-10-15,2025-02-25
environmental activist,BR,583-847-0089,active,2023-11-01,2029-01-07
humanitarian worker,AZ,900-524-0072,emergency extraction,2010-10-11,2023-05-26
corporate executive,NL,162-171-7045,under review,2010-12-27,2025-04-11
arts connoisseur,FR,625-658-2668,under development,2008-06-05,2031-02-16
freelance photographer,ZM,358-731-8562,deep cover,2019-06-24,2027-09-15
food/culinary expert,BR,606-688-5735,compromised,2009-07-01,2034-09-28
humanitarian worker,PL,565-592-8428,active,2022-08-10,2031-07-24
law enforcement officer,CN,198-145-6542,under surveillance,2011-01-28,2023-10-07
arts connoisseur,TH,699-495-2338,under review,2014-10-11,2023-04-04
environmental activist,GE,686-269-8848,compromised,2021-05-30,2024-01-03
journalist/reporter,AR,747-417-4374,inactive,2018-08-19,2023-03-24
journalist/reporter,UA,756-141-1225,deep cover,2009-01-25,2030-01-23
finance/investment analyst,CN,560-565-3696,active,2011-03-28,2033-01-18
business consultant,CZ,894-485-0034,under review,2022-02-08,2027-02-13
tourist/traveler,CN,249-915-0166,inactive,2005-02-24,2024-08-18
medical professional,ID,348-280-6073,burned,2009-08-12,2027-06-08
academic researcher,CN,448-433-9869,inactive,2009-07-02,2031-09-10
academic researcher,DO,325-675-5462,deep cover,2013-05-29,2027-07-06
humanitarian worker,GT,917-490-4230,under development,2015-10-06,2030-07-28
arts connoisseur,ID,947-941-8748,burned,2017-01-19,2031-07-13
law enforcement officer,ID,194-609-2594,under development,2022-06-30,2031-08-09
tech entrepreneur,TM,741-875-5401,under development,2020-10-06,2024-07-06
humanitarian worker,RU,330-237-0013,active,2004-04-08,2028-11-30
entertainment insider,FR,655-402-8751,compromised,2017-01-09,2034-02-21
business consultant,RU,439-906-4904,compromised,2017-10-17,2030-09-08
freelance photographer,MK,835-983-2083,inactive,2020-10-04,2032-11-18
journalist/reporter,FR,881-672-1825,burned,2020-04-21,2032-03-02
journalist/reporter,AL,139-216-3110,burned,2012-01-29,2032-10-30
arts connoisseur,AM,308-113-5644,deep cover,2020-05-22,2028-07-14
finance/investment analyst,PH,316-415-0702,deep cover,2022-08-09,2032-12-14
tourist/traveler,MK,100-630-0363,deep cover,2016-02-24,2032-11-06
medical professional,TR,710-368-3746,active,2017-08-25,2024-09-09
humanitarian worker,PL,954-431-0632,compromised,2014-11-20,2024-05-17
tourist/traveler,PS,325-136-7695,under review,2009-05-05,2026-09-01
travel blogger/reviewer,CN,146-915-3243,active,2017-10-10,2023-08-13
environmental activist,BR,495-329-9450,under surveillance,2007-03-31,2023-07-16
humanitarian worker,RU,454-475-4811,under surveillance,2007-04-04,2028-10-31
freelance photographer,CN,956-762-6435,under development,2022-02-26,2023-12-01
freelance photographer,CN,594-152-5473,burned,2021-12-26,2023-04-15
law enforcement officer,ID,384-576-8128,active,2012-12-10,2031-01-06
medical professional,AR,507-509-8562,inactive,2010-10-07,2031-05-27
law enforcement officer,PL,627-994-3590,active,2016-08-02,2032-10-21
government official/diplomat,CZ,130-941-7018,under development,2021-08-30,2034-07-01
tourist/traveler,PH,489-609-6399,emergency extraction,2016-09-18,2034-12-07
government official/diplomat,HN,627-511-4300,compromised,2019-02-02,2032-10-04
journalist/reporter,RU,146-816-1867,under development,2020-05-27,2033-12-10
food/culinary expert,IS,812-250-8959,under development,2023-05-28,2032-12-12
academic researcher,CN,725-245-1077,burned,2010-08-26,2031-09-06
finance/investment analyst,TZ,944-561-8115,under development,2007-09-26,2023-09-01
arts connoisseur,CN,761-919-1325,deep cover,2008-10-01,2024-11-11
security specialist,CN,177-747-5450,infiltration,2012-02-14,2026-08-09
travel blogger/reviewer,ID,259-647-4083,deep cover,2004-10-29,2032-08-27
business consultant,UA,667-522-0089,deep cover,2005-10-02,2025-12-18
law enforcement officer,CN,418-732-8080,under development,2004-10-26,2023-08-18
finance/investment analyst,US,713-422-2286,under development,2010-08-05,2024-11-25
business consultant,US,608-643-0716,under review,2021-01-22,2030-05-24
arts connoisseur,ID,564-759-8507,active,2020-08-21,2023-11-14
law enforcement officer,VN,849-966-4095,under surveillance,2009-07-01,2029-09-23
law enforcement officer,PE,522-945-0118,burned,2011-12-28,2030-01-25
travel blogger/reviewer,PT,637-381-5478,burned,2008-01-08,2032-12-24
tech entrepreneur,PH,514-154-1014,under surveillance,2007-04-16,2030-03-13
humanitarian worker,CN,590-409-1251,deep cover,2017-05-06,2032-01-08
business consultant,ID,457-808-1776,under review,2010-11-12,2034-11-07
business consultant,ID,117-525-1582,under review,2013-10-22,2028-08-19
tourist/traveler,PH,703-255-6304,infiltration,2005-02-15,2032-04-28
travel blogger/reviewer,BE,509-612-0068,emergency extraction,2012-02-10,2033-11-17
finance/investment analyst,ML,198-856-1391,under review,2009-02-21,2024-03-16
corporate executive,SI,897-274-0326,compromised,2019-04-21,2024-04-23
travel blogger/reviewer,CZ,946-361-2334,active,2014-12-16,2025-07-16
travel blogger/reviewer,CN,700-653-4967,deep cover,2007-09-12,2032-08-16
corporate executive,PT,877-150-1564,under review,2006-09-27,2023-09-06
medical professional,CN,815-146-8724,infiltration,2007-11-27,2032-07-07
construction worker/engineer,CN,834-706-2991,infiltration,2015-11-03,2024-11-17
academic researcher,MD,803-732-0894,deep cover,2013-04-27,2025-04-13
medical professional,KZ,636-500-1749,infiltration,2020-03-24,2031-03-23
journalist/reporter,AZ,441-264-2559,inactive,2017-09-27,2029-08-29
food/culinary expert,CA,998-620-1625,under surveillance,2022-07-12,2027-09-03
journalist/reporter,CN,954-524-2509,infiltration,2012-02-20,2028-05-26
academic researcher,KE,372-849-5309,under development,2016-11-01,2026-09-28
travel blogger/reviewer,CR,212-566-0938,inactive,2022-09-28,2023-04-12
freelance photographer,AR,793-386-7442,deep cover,2016-07-19,2026-12-11
academic researcher,JP,856-957-4243,burned,2019-06-25,2034-03-13
freelance photographer,PH,307-598-6815,under surveillance,2007-07-13,2024-04-14
construction worker/engineer,MN,654-411-9634,infiltration,2009-04-25,2033-10-28
tourist/traveler,BW,465-432-3968,under surveillance,2013-12-10,2028-07-31
environmental activist,CA,291-468-1850,inactive,2017-06-16,2027-01-05
entertainment insider,GR,361-521-2826,under review,2014-01-02,2026-09-10
business consultant,GT,265-288-8934,under surveillance,2013-07-31,2032-08-23
business consultant,YE,259-235-3815,under review,2005-10-18,2028-04-24
travel blogger/reviewer,CN,733-959-9559,under review,2017-12-06,2031-05-12
environmental activist,CN,662-222-8117,under review,2004-03-23,2030-09-26
academic researcher,CN,338-698-8662,active,2017-09-18,2028-07-28
corporate executive,PH,607-208-2017,burned,2009-11-22,2024-07-21
business consultant,CN,360-101-2607,compromised,2015-11-08,2026-10-27
medical professional,CN,851-476-6074,deep cover,2010-06-20,2025-10-05
social media influencer,MX,527-889-9779,under surveillance,2014-08-26,2029-08-29
tech entrepreneur,CN,801-553-8305,deep cover,2007-12-12,2034-10-06
medical professional,ZM,816-611-5330,infiltration,2011-01-19,2025-02-04
corporate executive,CN,307-235-2340,burned,2010-02-01,2032-09-28
law enforcement officer,ID,620-927-3602,active,2009-03-13,2024-01-02
journalist/reporter,ID,725-367-0794,under review,2017-06-26,2026-03-01
finance/investment analyst,PH,309-761-4418,compromised,2013-06-25,2029-05-20
finance/investment analyst,PT,518-540-6470,under surveillance,2017-06-29,2027-02-07
journalist/reporter,CN,512-801-4327,deep cover,2022-09-24,2028-04-11
entertainment insider,CN,781-936-4047,compromised,2017-12-01,2024-04-18
law enforcement officer,NP,915-601-5474,deep cover,2006-02-26,2029-10-27
business consultant,FR,377-217-2575,infiltration,2010-01-25,2032-07-03
tech entrepreneur,US,217-700-3336,under surveillance,2016-07-20,2024-05-27
environmental activist,LT,642-524-5714,active,2010-09-01,2033-06-29
business consultant,CN,550-318-9985,active,2013-03-07,2030-03-24
freelance photographer,FI,401-343-4918,inactive,2013-09-21,2023-11-03
medical professional,PT,563-198-4594,under surveillance,2012-02-15,2024-11-22
tech entrepreneur,ID,593-263-9127,burned,2021-10-27,2034-01-25
travel blogger/reviewer,CN,629-371-5087,emergency extraction,2012-08-10,2031-02-03
medical professional,ID,641-553-0435,under review,2008-04-06,2025-03-19
security specialist,CN,587-272-3326,burned,2020-09-30,2024-12-25
government official/diplomat,MW,459-557-2126,under review,2016-09-20,2031-02-10
journalist/reporter,PF,629-494-6563,under review,2004-07-15,2032-12-14
freelance photographer,CN,631-744-2803,compromised,2017-01-31,2029-01-21
government official/diplomat,PA,689-779-3195,active,2011-12-23,2030-09-13
medical professional,PT,535-775-9700,under surveillance,2023-02-01,2033-01-06
entertainment insider,MG,355-823-4483,deep cover,2021-08-08,2031-12-11
arts connoisseur,CN,319-601-4855,under review,2021-04-27,2030-07-19
humanitarian worker,CZ,655-489-0158,active,2004-08-30,2024-11-08
security specialist,BR,422-533-6305,emergency extraction,2010-04-03,2026-07-15
security specialist,CO,104-889-9527,under development,2008-12-15,2023-05-01
corporate executive,TH,215-374-5136,under surveillance,2017-03-18,2024-05-29
tech entrepreneur,RU,218-563-4580,inactive,2005-08-31,2033-07-18
journalist/reporter,US,321-982-3501,emergency extraction,2016-02-15,2028-06-30
social media influencer,RU,125-678-4569,under surveillance,2018-01-14,2024-08-03
business consultant,ID,352-180-1391,active,2022-04-10,2027-11-15
government official/diplomat,ID,473-826-2166,under review,2018-02-09,2029-02-24
construction worker/engineer,ID,252-353-0004,compromised,2013-12-31,2023-03-02
arts connoisseur,CN,299-886-6510,emergency extraction,2020-10-18,2029-06-13
environmental activist,SE,629-239-0086,under development,2016-11-16,2028-03-13
academic researcher,BR,234-822-2986,compromised,2015-09-22,2027-01-20
social media influencer,CA,168-561-1395,under development,2016-07-11,2028-09-26
travel blogger/reviewer,US,419-809-7766,under review,2006-11-03,2032-03-28
environmental activist,CN,118-426-1776,under review,2011-07-29,2026-02-18
business consultant,CN,363-338-3200,compromised,2020-12-25,2024-05-29
law enforcement officer,PL,580-366-0205,deep cover,2004-11-04,2023-08-06
government official/diplomat,FR,352-183-2913,under surveillance,2006-11-22,2030-05-28
finance/investment analyst,CN,923-603-5201,infiltration,2023-06-02,2024-01-27
social media influencer,ID,622-922-0600,burned,2004-08-29,2030-01-09
construction worker/engineer,US,505-558-4766,under surveillance,2009-11-12,2034-11-09
environmental activist,PL,788-142-8135,active,2010-09-26,2031-03-18
arts connoisseur,TH,828-936-0442,under development,2015-05-11,2024-10-29
environmental activist,PT,483-647-2956,under development,2005-10-12,2034-12-27
freelance photographer,RU,752-248-3316,compromised,2015-01-30,2033-02-28
academic researcher,CN,960-371-9023,under development,2005-10-10,2033-07-21
tech entrepreneur,BF,101-573-3205,inactive,2022-11-22,2030-04-21
arts connoisseur,RU,488-138-2300,under surveillance,2021-10-28,2029-05-26
tourist/traveler,FR,544-686-7173,deep cover,2020-08-10,2025-10-12
journalist/reporter,BR,293-244-1702,infiltration,2016-10-18,2026-06-28
arts connoisseur,BR,808-390-6879,burned,2014-10-01,2029-11-05
finance/investment analyst,MU,193-597-3932,deep cover,2018-11-11,2024-05-29
medical professional,PS,107-319-1993,infiltration,2023-01-24,2033-01-29
freelance photographer,EC,763-721-9662,inactive,2011-12-11,2023-03-29
corporate executive,CN,570-522-3900,active,2012-07-18,2025-09-01
medical professional,MY,665-799-0055,inactive,2005-02-10,2034-12-04
business consultant,CN,406-544-4449,inactive,2011-04-25,2025-02-03
corporate executive,PE,537-111-7008,under review,2010-06-13,2031-08-05
tourist/traveler,NO,426-735-2730,deep cover,2013-08-06,2034-01-21
business consultant,IR,662-270-6450,inactive,2009-12-18,2034-07-01
arts connoisseur,SE,328-990-7805,infiltration,2021-03-10,2032-07-20
tech entrepreneur,MX,367-405-2198,under review,2005-11-02,2026-05-04
journalist/reporter,BR,929-870-3996,inactive,2004-06-15,2033-01-10
construction worker/engineer,SE,417-829-2812,burned,2019-09-08,2024-01-03
academic researcher,RU,935-786-7074,compromised,2014-09-14,2025-04-04
construction worker/engineer,CN,824-194-9143,inactive,2022-06-13,2033-06-05
law enforcement officer,ID,396-772-4066,active,2006-06-10,2024-01-23
entertainment insider,CN,724-814-5206,under review,2008-03-04,2027-11-08
construction worker/engineer,CN,844-909-0799,under development,2023-01-05,2025-03-07
academic researcher,RU,944-729-9366,emergency extraction,2011-10-20,2029-07-29
