INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Nickie','Summerson','1975-12-01','F','VN',1,'asset handler','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Lani','Gibbie','1967-02-17','F','FR',10,'demolitions expert','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Claudina','Blesli','1996-12-04','F','US',6,'agent in place','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Berkie','Henrie','1965-08-29','M','BR',5,'field operative','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Reeba','Jaume','1959-04-30','F','UA',8,'medical specialist','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Darice','Marcu','1979-01-27','F','PT',5,'psychological warfare specialist','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Aristotle','Chat','1955-03-08','M','TM',8,'intelligence analyst','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Vladamir','Nibley','1993-07-22','M','ID',8,'negotiation expert','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Devon','Cassin','1993-06-30','F','AZ',5,'field operative','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Arlen','Gomery','1977-03-30','M','PH',7,'technical specialist','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gardener','McCrum','1996-11-07','M','ID',7,'sniffer','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Silvano','Danilovic','1972-12-20','M','CN',3,'undercover agent','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Hansiain','Mongenot','1957-09-21','M','MX',1,'infiltration expert','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Wallie','Caney','2004-05-18','M','CZ',1,'agent in place','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Shirley','Leggatt','1975-01-08','F','RU',1,'sniffer','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Donna','Demaine','1975-01-14','F','SE',2,'rogue hunter','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Devinne','Gurry','1996-07-31','F','BR',6,'counterterrorism specialist','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Marge','Le Friec','2001-01-19','F','CO',6,'negotiation expert','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Thorn','Burdikin','2004-06-06','M','NG',6,'sniffer','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Wandie','Shade','1982-02-21','F','CN',4,'psychological warfare specialist','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Atalanta','Pfleger','1979-06-03','F','CN',6,'survivalist','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rozamond','Dyzart','1976-04-05','F','CM',4,'translator','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Mahalia','Trunks','1981-03-10','F','GT',6,'underwater specialist','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Kilian','Trail','1988-01-25','M','ID',1,'counterintelligence agent','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Vivian','Skelding','1959-03-14','F','PK',9,'field operative','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Latisha','Iacomettii','1981-05-30','F','DM',6,'sniper','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Matteo','Dye','1965-11-07','M','BH',9,'counterintelligence agent','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Elia','Arrigo','1959-12-13','M','GR',3,'assassin','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Jemie','Andersson','1963-04-18','F','PL',10,'psychological warfare specialist','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Hamid','Bramall','1994-12-17','M','ID',7,'intelligence analyst','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Vita','McGurn','1995-03-07','F','FR',10,'agent in place','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Roth','Harmeston','1991-02-09','M','BG',4,'interrogation specialist','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Annelise','Bakhrushkin','1986-04-23','F','MX',4,'negotiation expert','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Chrisse','Doorly','1957-09-04','M','HR',8,'translator','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Atlante','Natte','1981-07-30','F','NO',6,'combat specialist','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Agretha','Dumelow','1962-12-18','F','CN',5,'interrogation specialist','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Delmore','Gulleford','1963-12-03','M','TH',6,'intelligence analyst','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Morry','Kubacki','1960-02-21','M','RU',2,'escape and evasion expert','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Isabelita','Ashbolt','1993-05-16','F','CN',2,'negotiation expert','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Sauveur','Hawkswell','2001-04-25','M','ID',8,'sniper','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Harlie','Littlemore','1991-01-19','F','CZ',5,'demolitions expert','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Florida','Pretley','1978-08-07','F','CN',8,'sniffer','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Olive','Bythway','1959-08-17','F','PE',5,'counterintelligence agent','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Karyn','Bustard','1998-09-16','F','BR',1,'medical specialist','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Trenna','Bleakley','1968-12-09','F','CN',10,'counterterrorism specialist','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rodrick','Norree','1993-08-06','M','JO',8,'counterintelligence agent','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Lorrin','Dellenbach','1994-03-04','F','CN',3,'underwater specialist','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Farrel','Woodwind','1985-03-18','M','CM',5,'counterintelligence agent','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Glendon','Fisher','1967-11-04','M','ID',3,'interrogation specialist','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Teddie','Sirmon','1977-06-23','M','CN',6,'counterintelligence agent','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Baily','Towe','1970-11-25','M','RU',8,'underwater specialist','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Kinny','Beadle','1955-04-03','M','CN',7,'psychological warfare specialist','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Bayard','Daouse','1999-05-20','M','CN',2,'technical specialist','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Robina','Novak','1975-09-04','F','UY',6,'psychological warfare specialist','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rosalind','Standish','1954-12-11','F','CN',8,'undercover agent','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Philippe','Sheals','1983-05-20','F','CO',2,'technical specialist','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Tanitansy','Ahlin','1991-02-28','F','RU',9,'escape and evasion expert','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Chrissie','Labba','1996-05-19','M','CN',5,'psychological warfare specialist','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Arch','Lindmark','1998-06-06','M','PH',10,'medical specialist','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Murielle','Edwicker','1994-06-23','F','BR',9,'translator','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Kerstin','Brendish','1984-08-09','F','TN',5,'combat specialist','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Jone','Doumerc','1983-12-19','M','PT',5,'intelligence analyst','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Archy','Savell','1985-01-27','M','FR',3,'translator','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Helen-elizabeth','Figura','1961-08-08','F','CZ',7,'field operative','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Dolli','Ensten','1965-05-12','F','LB',2,'counterterrorism specialist','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Kassey','Tomaszczyk','1992-10-02','F','ID',1,'infiltration expert','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Khalil','Jerschke','1967-12-05','M','MX',2,'rogue hunter','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Shani','Sterke','1960-09-25','F','CN',4,'demolitions expert','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ardine','Solan','1977-10-15','F','GE',4,'cyber operative','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Abbye','Heinzler','1997-07-31','F','CN',5,'psychological warfare specialist','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Alana','Hackey','1976-05-22','F','ID',2,'survivalist','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Wilbur','Ferreras','1979-01-21','M','PT',10,'influence operations specialist','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Erskine','Banister','1971-08-24','M','FR',9,'sniffer','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Elden','Bryson','1955-09-19','M','BR',8,'counterterrorism specialist','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Inez','Chaucer','1983-12-11','F','GR',2,'undercover agent','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Lyndel','Vasenkov','1990-02-19','F','ID',8,'sniper','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Brooks','Menary','1973-02-07','F','CN',6,'combat specialist','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Royce','Stapele','1961-02-04','M','CN',5,'negotiation expert','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Marcie','Bettlestone','1981-07-20','F','CN',2,'survivalist','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rolph','Sheards','1970-01-28','M','CZ',6,'medical specialist','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gwyneth','Handrok','1999-09-26','F','CN',4,'sniffer','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gino','Matthis','1959-08-25','M','TH',9,'psychological warfare specialist','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Fidelity','Hughlock','1962-12-25','F','IL',2,'translator','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Brandy','Starking','1987-03-20','F','ID',7,'translator','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Loella','McIlveen','1960-10-24','F','PH',8,'assassin','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Daniela','Semon','1974-09-24','F','VE',6,'field operative','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Lizbeth','Buzzing','1983-11-06','F','CN',5,'cyber operative','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Aylmar','Waldie','1999-12-20','M','PK',10,'escape and evasion expert','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gratia','Lusher','1959-05-28','F','RU',9,'medical specialist','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Hyacinthie','Briston','1981-06-05','F','NO',8,'escape and evasion expert','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Joyan','Gamlen','2001-11-23','F','EE',1,'demolitions expert','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Leola','Betton','1985-09-13','F','CN',2,'rogue hunter','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Pippa','Peskett','1981-05-06','F','CN',6,'survivalist','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Haywood','Child','1973-06-13','M','PH',9,'agent in place','psychological operations');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ferguson','Dolphin','1976-09-06','M','CN',2,'infiltration expert','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Oriana','Gianiello','1964-09-07','F','TD',10,'sniffer','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rikki','Donn','1979-03-14','M','CZ',1,'medical specialist','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Bart','Muehle','1984-09-15','M','PL',2,'field operative','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Reidar','Woolfitt','2001-11-22','M','TH',10,'combat specialist','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Panchito','Bevis','1957-07-26','M','CN',5,'intelligence analyst','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Corney','Blasdale','1973-01-14','M','BR',3,'undercover agent','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Damita','Kuschke','1980-06-17','F','ID',6,'influence operations specialist','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Pattin','Hulance','1968-08-21','M','SE',3,'influence operations specialist','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Che','Franzonello','2005-12-01','M','ID',2,'psychological warfare specialist','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Sam','Moger','1992-02-14','F','YE',9,'field operative','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Christian','Andress','1957-05-27','F','ID',4,'underwater specialist','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Dulsea','Fairham','1998-05-29','F','TG',1,'influence operations specialist','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Cathe','Mecozzi','1987-06-18','F','ID',5,'infiltration expert','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Dorothy','Mostin','1977-02-19','F','NI',8,'asset handler','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Jedd','Doumenc','1995-05-02','M','UA',2,'agent in place','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Rosamund','Piens','1989-11-03','F','ID',1,'infiltration expert','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ula','Casley','1999-12-03','F','EE',4,'assassin','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Min','Cantillon','1964-12-06','F','FR',6,'technical specialist','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Sheelah','Gwyn','1976-06-01','F','CN',4,'sniper','training');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Torry','Schuler','1961-05-28','M','PL',4,'assassin','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Chiquita','Brockelsby','1981-12-05','F','SE',3,'translator','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Pall','Allwell','1980-09-23','M','CM',5,'undercover agent','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Leupold','Arghent','1999-06-09','M','CN',8,'agent in place','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Remy','Wymer','1997-06-29','F','NG',3,'escape and evasion expert','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Mellicent','Paddingdon','1978-10-06','F','CN',10,'counterterrorism specialist','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Sauveur','Sallans','1993-01-19','M','ID',6,'communications specialist','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Thebault','Kilbee','1991-11-01','M','PH',10,'communications specialist','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Barbaraanne','Rableau','1977-08-02','F','MY',7,'escape and evasion expert','reserve');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Conchita','Kundt','1992-05-14','F','IR',6,'combat specialist','on leave');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Maurizia','Vernau','2001-12-09','F','CN',1,'translator','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Leland','Nelthorpe','2003-03-21','F','PH',4,'demolitions expert','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Verna','Hoble','1987-01-08','F','PT',4,'negotiation expert','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Grove','Gudgin','1992-10-16','M','MU',2,'sniper','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Roselia','Cater','1997-08-03','F','CN',1,'field operative','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Marty','Baughan','1997-03-07','F','PH',10,'counterintelligence agent','interrogation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Austin','Jertz','1968-01-24','F','ID',7,'technical specialist','recovery');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Sherlock','Rival','1976-11-18','M','US',6,'sniffer','black ops');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Dud','Darley','1966-10-02','M','HR',1,'psychological warfare specialist','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Michel','Bamlett','1980-05-13','F','NO',6,'asset handler','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Mirilla','Sowthcote','1961-03-17','F','CN',4,'medical specialist','standby');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Gasparo','Glendzer','1966-01-16','M','CN',2,'demolitions expert','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Elliot','Harefoot','2005-10-07','M','CO',4,'asset handler','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Durante','Dreinan','1998-05-21','M','KG',1,'technical specialist','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ollie','Fowler','1997-05-12','F','RU',1,'undercover agent','intelligence gathering');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Juliette','Asplen','1981-01-26','F','NL',9,'counterintelligence agent','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Edy','Twigley','1966-03-16','F','CN',10,'agent in place','infiltration');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Libbie','Vallens','1979-04-02','F','US',6,'influence operations specialist','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ezekiel','Antonovic','2001-10-19','M','CN',5,'agent in place','covert diplomacy');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Jedediah','Fittis','1958-02-12','M','ID',1,'sniffer','on assignment');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Ailene','Van den Velden','1960-02-06','F','CU',1,'infiltration expert','reconnaissance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Tildi','Steynor','1969-03-15','F','BR',7,'negotiation expert','deep cover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Enrica','Kither','2000-10-17','F','KE',7,'counterintelligence agent','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Britteny','Martusewicz','1983-06-24','F','CN',10,'combat specialist','active');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Wilie','Freeburn','2001-07-30','F','UA',2,'medical specialist','injured');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Margy','Carmody','1968-03-04','F','CN',1,'psychological warfare specialist','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Chiarra','Cagan','1989-09-29','F','NG',10,'translator','undercover');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Cristina','Verrill','1997-04-30','F','MX',4,'counterintelligence agent','under investigation');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Finlay','Pinson','1960-07-04','M','PH',4,'translator','technical support');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Earvin','Cinavas','1966-11-05','M','MM',5,'infiltration expert','surveillance');
INSERT INTO agents(fname, lname, dob, gender, nationality, security_level, agent_type, agent_status) VALUES('Olenolin','Goodredge','1993-04-28','M','ID',3,'combat specialist','on leave');
