0,1,2,3,4,5,6,7
Barri,Coventon,1986-11-12,M,IR,8,negotiation expert,technical support
Nan,Golding,1968-04-14,F,CN,6,undercover agent,standby
Flin,Livesey,1966-08-17,M,EC,8,cyber operative,deep cover
Viviene,April,1970-10-12,F,SE,1,assassin,training
Claribel,MacConneely,1962-02-28,F,GM,1,cyber operative,recovery
Sondra,Stephens,1954-05-03,F,CN,3,demolitions expert,interrogation
Dillie,Laye,1963-10-27,M,GR,7,infiltration expert,active
Alphard,Clear,1993-09-14,M,BR,2,cyber operative,technical support
Bernie,Melan,1997-10-16,M,PL,8,cyber operative,recovery
Sammy,Dunk,1976-01-10,M,MG,6,counterterrorism specialist,covert diplomacy
Horace,Amys,1955-01-07,M,EE,9,intelligence analyst,technical support
Maryjane,Essel,2001-10-09,F,LT,3,demolitions expert,black ops
Prue,Saill,1986-09-15,F,KE,8,communications specialist,active
Elsworth,Ogg,1987-04-21,M,CN,2,cyber operative,standby
Kat,Keig,1998-06-28,F,CA,1,undercover agent,training
Burk,Kingett,2004-02-12,M,ID,10,intelligence analyst,deep cover
Thorsten,Croal,1977-08-31,M,PL,10,psychological warfare specialist,covert diplomacy
Hilde,Colaton,1957-12-10,F,PS,4,negotiation expert,under investigation
Milli,Descroix,1979-07-02,F,BR,9,communications specialist,black ops
Stormy,Pinnock,1995-02-17,F,PS,4,interrogation specialist,injured
Justinian,Haithwaite,1971-12-22,M,JP,2,psychological warfare specialist,injured
Callean,Pook,1978-06-18,M,BA,1,intelligence analyst,covert diplomacy
Zarah,Hasluck,1956-12-07,F,AR,3,rogue hunter,on assignment
Boigie,Lavrick,1979-04-28,M,BR,5,psychological warfare specialist,surveillance
Amandi,Juarez,1979-07-21,F,CN,8,asset handler,reserve
Blondell,Aberkirder,1971-11-03,F,CN,8,medical specialist,active
Alisander,Duke,1973-06-08,M,CN,9,field operative,reconnaissance
Jon,Kimmel,1984-12-15,M,UA,1,agent in place,under investigation
Brendon,Stavers,1989-01-14,M,BR,4,survivalist,infiltration
Nickolas,Nand,1988-04-11,M,RS,6,counterterrorism specialist,covert diplomacy
Caz,Dragon,1970-11-25,M,NE,5,combat specialist,under investigation
Hadlee,Reinisch,1968-03-22,M,PE,3,cyber operative,reconnaissance
Ira,Sabine,2003-02-28,F,PE,4,intelligence analyst,injured
Gonzalo,Kitchinghan,1985-04-01,M,BG,8,field operative,injured
Cazzie,Footer,1999-01-14,M,ID,5,survivalist,under investigation
Chevalier,Sollam,1991-01-17,M,CN,4,underwater specialist,on assignment
Nickolas,Stanning,1960-06-07,M,LU,6,rogue hunter,standby
Panchito,Balaison,1959-04-27,M,CN,5,psychological warfare specialist,under investigation
Janeta,Lurcock,1955-08-22,F,PH,4,rogue hunter,psychological operations
Dallon,Wainman,1968-01-13,M,FR,5,translator,undercover
Thea,Mixter,1963-11-21,F,JP,6,negotiation expert,undercover
Morrie,McCaskill,1964-04-23,M,CN,9,technical specialist,training
Micheal,Yitzovicz,1990-07-23,M,CN,7,agent in place,active
Joline,Ritson,1988-10-12,F,ID,8,communications specialist,active
Keefe,Wardell,1975-10-05,M,SE,4,assassin,reconnaissance
Vachel,Anthonsen,2003-10-04,M,PT,3,intelligence analyst,active
Haze,MacEveley,1999-04-02,M,CR,3,translator,black ops
Ali,Kull,1986-09-24,F,CN,6,escape and evasion expert,undercover
Dennie,Suffield,1992-12-19,M,ID,7,combat specialist,interrogation
Annadiana,Kurt,1958-07-30,F,GR,5,translator,under investigation
Terrell,Ward,1997-04-21,M,PH,9,technical specialist,intelligence gathering
Leisha,Mordaunt,1955-09-29,F,PH,7,psychological warfare specialist,infiltration
Giorgi,Houlden,1965-03-23,M,CO,1,rogue hunter,standby
Constantine,Clipsham,1992-07-30,M,JP,9,sniffer,interrogation
Winnifred,Quinevan,1997-08-13,F,CN,2,interrogation specialist,injured
Emeline,Altree,1970-05-13,F,CN,9,cyber operative,black ops
Fanni,Doylend,1957-04-26,F,CN,10,communications specialist,reserve
Michal,Littlepage,1960-01-11,M,PH,6,communications specialist,standby
Onofredo,Franc,1963-06-06,M,VN,10,interrogation specialist,under investigation
Cornell,Pepye,1966-08-16,M,ID,1,combat specialist,technical support
Ellswerth,Deards,1994-09-02,M,CM,9,survivalist,training
Darleen,Chaucer,1993-09-23,F,SE,6,combat specialist,on leave
Fancie,Rosenblad,1995-08-10,F,CI,8,escape and evasion expert,surveillance
Rabbi,Benedick,1993-07-18,M,JP,7,undercover agent,on assignment
Darwin,Codd,2000-01-18,M,CN,5,counterintelligence agent,on leave
Glad,Charrier,1959-03-18,F,SE,5,counterterrorism specialist,undercover
Aube,Feaster,1960-05-26,M,ID,9,communications specialist,intelligence gathering
Valera,Gabbidon,1994-07-27,F,RU,10,asset handler,on assignment
Dwayne,Lemmers,1990-07-03,M,RU,2,communications specialist,reserve
Justin,Plevey,1985-09-27,M,PK,2,sniper,surveillance
Tallie,McQuarrie,1994-10-09,M,ZW,4,field operative,intelligence gathering
Stormie,Langabeer,1976-07-13,F,CZ,1,negotiation expert,deep cover
Chrisy,Rennie,2002-02-05,M,MN,4,cyber operative,recovery
Zondra,Deeming,1956-12-09,F,ES,6,interrogation specialist,intelligence gathering
Chlo,M'Quharg,1994-01-09,F,ID,3,psychological warfare specialist,infiltration
Marwin,Brambell,1973-06-16,M,AL,5,demolitions expert,surveillance
Gretta,Casella,1989-02-12,F,PT,7,escape and evasion expert,technical support
Jemima,Gatcliff,1962-02-01,F,ID,6,translator,reconnaissance
Katti,West,1984-11-23,F,PH,8,communications specialist,infiltration
Heloise,Puddefoot,1961-10-30,F,BR,1,intelligence analyst,infiltration
Clovis,Wanne,1965-06-21,F,AZ,6,assassin,reconnaissance
Koo,Jozaitis,1961-05-01,F,PL,4,demolitions expert,deep cover
Delphinia,Vanelli,1976-12-29,F,ID,1,assassin,psychological operations
Noemi,Hovert,1994-06-19,F,RU,5,infiltration expert,undercover
Otis,Di Biaggi,2002-05-03,M,PL,10,combat specialist,active
Carola,Burfitt,1985-07-08,F,PH,10,influence operations specialist,technical support
Der,Marklund,1997-02-04,M,RU,6,technical specialist,training
Rodina,Maynard,1956-10-31,F,MT,5,survivalist,under investigation
Hildagard,Hadenton,1987-12-09,F,MX,8,translator,intelligence gathering
Daryl,Soutter,1968-02-12,M,CN,8,intelligence analyst,on assignment
Genni,Dobkin,2002-07-09,F,CN,8,interrogation specialist,technical support
Crin,Proud,1973-05-25,F,CN,9,assassin,standby
Hannah,Braunter,1964-03-09,F,CN,7,counterintelligence agent,reconnaissance
Lief,Crankhorn,1964-03-14,M,CN,6,translator,covert diplomacy
Purcell,Sedcole,1995-05-14,M,BR,7,cyber operative,covert diplomacy
Odey,Ribeiro,1980-10-15,M,CN,2,agent in place,training
Karna,Dawbery,1963-09-28,F,FR,5,negotiation expert,black ops
Lennie,Ewings,1958-01-29,M,MX,5,interrogation specialist,surveillance
Melonie,Poytress,1992-02-10,F,ID,8,technical specialist,training
Garwin,Roan,1964-10-31,M,TH,10,rogue hunter,active
Devinne,Konig,1958-04-16,F,BR,10,survivalist,surveillance
Germain,Muldrew,2005-05-03,F,CN,4,medical specialist,black ops
Hyacinthia,Kimmins,1971-03-10,F,CN,2,interrogation specialist,under investigation
Nell,Blesdill,2004-04-26,F,NG,8,sniffer,psychological operations
Josefa,Chrichton,1989-03-10,F,ID,1,demolitions expert,black ops
Sammy,Dyka,1989-02-15,M,CN,9,interrogation specialist,recovery
Torrance,Beausang,1984-12-10,M,RU,5,demolitions expert,reserve
Bord,Candey,1967-05-03,M,RU,9,counterintelligence agent,on leave
Alexi,Acres,1985-07-31,F,CN,9,sniper,deep cover
Pearle,McChruiter,2001-10-24,F,SD,5,communications specialist,interrogation
Olwen,Farres,1985-09-09,F,US,10,psychological warfare specialist,surveillance
Byran,Alesi,2000-11-02,M,RU,10,sniffer,reconnaissance
Cornie,Wassung,1981-09-05,F,TH,4,counterintelligence agent,black ops
Worden,Woolatt,1991-09-27,M,BR,9,rogue hunter,technical support
Fee,Wakely,1978-06-09,M,KG,1,sniffer,on assignment
Guy,Poytheras,1982-08-20,M,ID,7,sniper,reserve
Asia,Chippindale,1987-07-25,F,RU,9,demolitions expert,injured
Gertruda,MacKellen,1985-01-24,F,PT,1,sniper,under investigation
Giovanni,Job,2000-09-07,M,AL,1,sniffer,deep cover
Avivah,Turvey,1963-08-21,F,RU,10,negotiation expert,on leave
Michaela,Semered,1958-04-30,F,ID,3,demolitions expert,infiltration
Reeta,Aberkirder,1958-01-11,F,CN,9,demolitions expert,reserve
Lazar,De la Barre,1963-07-02,M,ID,1,field operative,on assignment
Dodi,Anchor,1955-05-22,F,SE,9,rogue hunter,black ops
Lina,Broomhead,2004-12-01,F,JP,1,infiltration expert,on assignment
Arnoldo,Warcop,1988-01-25,M,CN,4,infiltration expert,infiltration
Amelita,Dowey,1971-10-16,F,CN,10,psychological warfare specialist,training
Bette-ann,Scowen,1985-09-13,F,RS,9,translator,training
Alfred,Kubalek,1993-07-24,M,CN,2,medical specialist,training
Ivie,Fawdery,1968-09-17,F,BR,1,underwater specialist,black ops
Baxie,Matisoff,2002-02-05,M,PT,2,survivalist,psychological operations
Gib,Gladwell,1975-04-13,M,HR,9,assassin,standby
Carly,Pingstone,1998-11-27,F,CN,8,asset handler,infiltration
Corrina,Mustin,1970-01-17,F,CA,1,communications specialist,psychological operations
Neille,Farrear,2004-08-14,F,SI,1,counterintelligence agent,on assignment
Ethelind,Fripps,1961-05-22,F,CN,7,field operative,deep cover
Chrystel,Linfoot,1991-09-19,F,ID,1,undercover agent,undercover
Wendel,Bayley,1978-08-21,M,FR,7,assassin,standby
Fidel,Ghost,1978-08-28,M,PE,7,undercover agent,on assignment
Donia,de Chastelain,1963-10-12,F,GB,2,technical specialist,training
Hewitt,D'Alessandro,1986-10-15,M,CN,5,communications specialist,deep cover
Hettie,Samwell,1983-05-08,F,SY,6,escape and evasion expert,under investigation
Dermot,Terran,1955-04-29,M,AR,4,field operative,intelligence gathering
Burton,Duncombe,1984-10-31,M,IE,3,undercover agent,active
Kiersten,Rushbrook,1977-08-23,F,ID,5,counterintelligence agent,intelligence gathering
Adore,Rhys,1987-12-19,F,US,9,technical specialist,training
Jessy,McElroy,1993-12-31,F,GT,7,field operative,under investigation
Amaleta,Blakeney,1994-01-26,F,US,10,interrogation specialist,psychological operations
Simone,Huccaby,1993-08-06,M,CO,3,undercover agent,intelligence gathering
Anallise,Eltone,1956-08-08,F,ZM,3,asset handler,reserve
Terrel,Giblin,2001-05-29,M,FI,3,medical specialist,training
Antonio,Syalvester,2004-05-25,M,CN,7,infiltration expert,technical support
Duke,Spieck,1988-06-03,M,UY,10,assassin,intelligence gathering
Michal,Yakushkev,1980-09-15,M,ID,1,sniffer,reconnaissance
Wake,Corck,1989-05-06,M,CN,5,infiltration expert,training
Dodi,Braunds,1984-05-16,F,CN,2,undercover agent,black ops
Luz,Burdess,2000-02-14,F,ID,2,underwater specialist,intelligence gathering
Sindee,McCormack,1988-01-14,F,PL,10,influence operations specialist,infiltration
Roddy,Pales,1978-10-23,M,ID,9,infiltration expert,recovery
Kean,Skeath,1981-09-07,M,BR,10,field operative,standby
Elliot,Mulligan,1970-10-21,M,PE,4,communications specialist,injured
Katharyn,Biasotti,1996-06-15,F,CN,3,counterintelligence agent,injured
Giorgio,Brosenius,1963-06-18,M,BR,3,underwater specialist,covert diplomacy
Graehme,Douch,1985-07-27,M,US,3,translator,undercover
Maryann,Hawkett,1982-10-01,F,PH,9,escape and evasion expert,covert diplomacy
Netti,Radolf,1969-11-09,F,BO,9,medical specialist,recovery
Devin,Brunet,1964-12-10,F,PS,4,communications specialist,surveillance
Pennie,Geeson,1995-09-11,M,ID,5,escape and evasion expert,black ops
Conny,Vicary,1987-07-23,F,BR,8,demolitions expert,surveillance
Dagmar,Drewery,2000-09-20,F,MX,3,counterterrorism specialist,infiltration
Claudia,Palatino,2004-08-21,F,KE,8,medical specialist,psychological operations
Juliet,Heggman,1991-12-13,F,PT,5,translator,infiltration
Rea,Smy,1971-02-02,F,ID,5,rogue hunter,under investigation
Kevin,Kaubisch,1997-09-05,M,KR,4,infiltration expert,reserve
Hailey,Ferber,1964-12-01,M,UG,9,underwater specialist,covert diplomacy
Dermot,Conachie,1965-11-20,M,NG,3,asset handler,surveillance
Jessie,Solomonides,1978-01-18,M,AR,3,interrogation specialist,technical support
Clea,Hum,1990-01-02,F,BR,10,counterterrorism specialist,intelligence gathering
Malissa,Behagg,1986-01-28,F,CN,5,sniper,psychological operations
Corinna,Patullo,1955-11-11,F,PT,1,technical specialist,on leave
Ange,Curnnok,1975-08-26,F,AR,1,sniffer,psychological operations
Coriss,Shadfourth,1973-12-02,F,CN,6,communications specialist,surveillance
Nicky,Provest,1990-02-24,M,CN,8,field operative,interrogation
Auroora,Lawdham,1976-09-22,F,ID,4,counterintelligence agent,on assignment
Alberik,Frodsham,1986-03-22,M,BY,9,survivalist,interrogation
Pembroke,Elwill,1987-04-01,M,CN,9,counterintelligence agent,technical support
Brod,Seczyk,1986-03-01,M,KE,9,sniffer,surveillance
Candide,Vandenhoff,1983-10-01,F,TH,8,assassin,under investigation
Aubry,Tidbury,1995-04-13,F,RS,7,field operative,standby
Heather,Offin,1984-10-29,F,RU,4,intelligence analyst,black ops
Inez,Giacomini,2001-07-09,F,XK,2,survivalist,training
Etan,Advani,1990-06-27,M,CN,2,combat specialist,psychological operations
Ulises,Gallaway,1972-02-15,M,ID,1,field operative,training
Annabel,Lafont,1979-11-03,F,CN,2,influence operations specialist,reserve
Newton,Facher,1978-02-28,M,RU,3,underwater specialist,intelligence gathering
Kearney,Coffelt,1984-08-26,M,CN,4,sniper,recovery
Phaidra,Davidovici,1995-01-06,F,SE,4,interrogation specialist,active
Noland,Kitchener,2005-11-24,M,RU,9,counterterrorism specialist,infiltration
Kippy,Helian,1961-09-03,F,PT,6,interrogation specialist,technical support
Wilmette,Duggleby,1995-10-30,F,PS,8,sniper,interrogation
Cyrille,Andries,1979-06-20,M,PL,7,technical specialist,reserve
Farica,Kitteman,1996-02-04,F,CN,2,interrogation specialist,surveillance
Gerick,Sawell,1968-09-11,M,VN,8,escape and evasion expert,infiltration
Huntlee,Pallister,1964-02-15,M,CN,2,sniffer,black ops
Eldredge,Cosson,1992-07-05,M,ID,9,rogue hunter,recovery
Lorri,Pilch,1974-08-24,F,UA,5,negotiation expert,injured
Randee,Feeney,1991-01-17,F,NG,10,interrogation specialist,on assignment
Sophronia,Radband,1982-07-23,F,KM,7,agent in place,infiltration
Poppy,Ottosen,1969-09-01,F,AR,10,technical specialist,on leave
Sheela,De Minico,1981-01-13,F,AL,9,agent in place,reserve
Latrina,Matokhnin,1975-01-09,F,MG,3,sniper,surveillance
Casper,Jenken,2002-10-01,M,BR,9,field operative,on assignment
Kellina,Rhodef,1960-07-20,F,CN,2,sniper,standby
Babbie,Shiels,1979-12-29,F,AM,9,negotiation expert,injured
Brucie,Ventham,1983-09-27,M,BR,5,field operative,injured
Lynnea,de Nore,1963-09-03,F,AS,2,sniper,standby
Abie,Smithend,1965-01-16,M,PK,7,translator,intelligence gathering
Malinda,Welds,1963-12-27,F,ID,1,intelligence analyst,technical support
Burl,Capeloff,1990-11-10,M,PL,3,psychological warfare specialist,covert diplomacy
Becka,Czaple,2004-12-24,F,AF,4,survivalist,training
Monroe,Vern,1989-02-06,M,FR,1,asset handler,reconnaissance
Essa,Yair,1999-12-17,F,ID,10,cyber operative,intelligence gathering
Bat,Cullrford,1991-02-16,M,BR,5,undercover agent,standby
Carol-jean,Brandts,1976-10-21,F,ID,6,rogue hunter,psychological operations
Lester,McCoy,1975-09-07,M,BR,10,psychological warfare specialist,under investigation
Cyndy,Casetti,1970-05-30,F,PH,7,infiltration expert,training
Honoria,Elloit,1965-12-24,F,RU,10,communications specialist,standby
Cody,Kilalea,1992-08-20,M,CN,7,influence operations specialist,injured
Rex,Cozens,2002-05-29,M,PH,8,psychological warfare specialist,on leave
Ganny,De Mitris,1994-09-28,M,NG,6,translator,injured
Rowe,Gapper,1956-03-15,F,CN,4,sniper,under investigation
Sasha,Roote,2002-05-20,M,NO,5,intelligence analyst,reconnaissance
Arabel,Pochet,1986-02-04,F,RU,9,undercover agent,black ops
